Date,USD/THB
31/12/2021,33.23
30/11/2021,33.71
31/10/2021,33.29
30/09/2021,33.67
31/08/2021,32.22
31/07/2021,32.89
30/06/2021,32.02
31/05/2021,31.19
30/04/2021,31.14
31/03/2021,31.24
28/02/2021,30.47
31/01/2021,29.86
31/12/2020,30.04
30/11/2020,30.28
31/10/2020,31.14
30/09/2020,31.6
31/08/2020,31.07
31/07/2020,31.25
30/06/2020,30.9
31/05/2020,31.81
30/04/2020,32.45
31/03/2020,32.74
29/02/2020,31.51
31/01/2020,31.2
31/12/2019,29.76
30/11/2019,30.19
31/10/2019,30.18
30/09/2019,30.59
31/08/2019,30.6
31/07/2019,30.7
30/06/2019,30.68
31/05/2019,31.52
30/04/2019,31.89
31/03/2019,31.72
28/02/2019,31.57
31/01/2019,31.2
31/12/2018,32.33
30/11/2018,32.96
31/10/2018,33.11
30/09/2018,32.32
31/08/2018,32.75
31/07/2018,33.19
30/06/2018,33.02
31/05/2018,32.05
30/04/2018,31.54
31/03/2018,31.17
28/02/2018,31.48
31/01/2018,31.34
31/12/2017,32.55
30/11/2017,32.64
31/10/2017,33.22
30/09/2017,33.32
31/08/2017,33.17
31/07/2017,33.29
30/06/2017,33.92
31/05/2017,34.03
30/04/2017,34.58
31/03/2017,34.34
28/02/2017,34.93
31/01/2017,35.08
31/12/2016,35.84
30/11/2016,35.69
31/10/2016,35.02
30/09/2016,34.58
31/08/2016,34.62
31/07/2016,34.76
30/06/2016,35.1
31/05/2016,35.76
30/04/2016,34.89
31/03/2016,35.1
29/02/2016,35.61
31/01/2016,35.71
31/12/2015,36.02
30/11/2015,35.79
31/10/2015,35.59
30/09/2015,36.36
31/08/2015,35.82
31/07/2015,34.99
30/06/2015,33.79
31/05/2015,33.69
30/04/2015,33.01
31/03/2015,32.53
28/02/2015,32.35
31/01/2015,32.72
