year,inflation
31/12/1991,47.7
31/12/1992,49.6
31/12/1993,50
31/12/1994,52.5
31/12/1995,55.5
31/12/1996,58.8
31/12/1997,62.1
31/12/1998,67
31/12/1999,67.2
31/12/2000,68.3
31/12/2001,69.4
31/12/2002,69.9
31/12/2003,71.1
31/12/2004,73.1
31/12/2005,76.4
31/12/2006,80
31/12/2007,81.7
31/12/2008,86.2
31/12/2009,85.5
31/12/2010,88.29
31/12/2011,91.65
31/12/2012,94.41
31/12/2013,96.47
31/12/2014,98.3
31/12/2015,97.42
31/12/2016,97.6
31/12/2017,98.25
31/12/2018,99.3
31/12/2019,100
31/12/2020,101.78
31/12/2021,100.37
