date,diesel_price,gasohol95_price
31/1/2015,25.79,31.02
28/2/2015,26.22,29.54
31/3/2015,27.04,29.53
30/4/2015,25.34,28.14
31/5/2015,26.07,29.08
30/6/2015,29.57,28.75
31/7/2015,24.51,28.43
31/8/2015,22.9,27.45
30/9/2015,23.21,26.39
31/10/2015,23.31,26.41
30/11/2015,23.06,25.55
31/12/2015,21.37,24.2
31/1/2016,19.84,23.41
29/2/2016,20.3,22.39
31/3/2016,21.86,23.43
30/4/2016,22.32,23.95
31/5/2016,24.15,25.17
30/6/2016,25.04,25.05
31/7/2016,24.55,24.01
31/8/2016,23.38,23.75
30/9/2016,23.34,24.85
31/10/2016,24.38,25.71
30/11/2016,24.2,25.46
31/12/2016,25.61,26.87
31/1/2017,26.43,27.63
28/2/2017,26.57,28.1
31/3/2017,25.8,26.94
30/4/2017,25.57,27.36
31/5/2017,25.02,26.87
30/6/2017,24.17,25.82
31/7/2017,24.52,25.71
31/8/2017,24.99,26.66
30/9/2017,25.46,27.42
31/10/2017,25.93,27.24
30/11/2017,26.46,28.07
31/12/2017,26.64,28
31/1/2018,27.54,28.18
28/2/2018,26.93,27.77
31/3/2018,26.91,27.67
30/4/2018,27.54,28.21
31/5/2018,28.96,29.4
30/6/2018,28.79,29.25
31/7/2018,28.98,29.51
31/8/2018,29.25,29.89
30/9/2018,29.8,30.76
31/10/2018,29.89,30.81
30/11/2018,29.12,28.99
31/12/2018,26.47,27.11
31/1/2019,25.55,26.3
28/2/2019,26.5,26.96
31/3/2019,27.39,28.52
30/4/2019,27.61,29.57
31/5/2019,27.92,29.39
30/6/2019,26.23,27.49
31/7/2019,26.62,28.05
31/8/2019,25.92,27.52
30/9/2019,26.01,27.57
31/10/2019,25.68,26.94
30/11/2019,25.72,27.02
31/12/2019,26.4,26.85
31/1/2020,27.33,26.38
29/2/2020,25.91,25.78
31/3/2020,22.9,21.83
30/4/2020,19.43,17.57
31/5/2020,19.14,19.15
30/6/2020,21.65,21.35
31/7/2020,22.32,21.65
31/8/2020,22.2,21.8
30/9/2020,21.4,21.68
31/10/2020,21.74,21.72
30/11/2020,22.6,21.58
31/12/2020,24.07,22.63
31/1/2021,24.77,23.84
28/2/2021,26.34,25.41
31/3/2021,26.83,26.54
30/4/2021,26.63,26.79
31/5/2021,27.54,27.57
30/6/2021,28.5,28.32
31/7/2021,29.13,29.51
31/8/2021,29,29.46
30/9/2021,29.61,29.75
31/10/2021,29.62,31.52
30/11/2021,29.44,32
31/12/2021,28.22,30.64
