date,diesel_price
31/1/1991,8.4
28/2/1991,8.4
31/3/1991,8.2
30/4/1991,8.2
31/5/1991,8.01
30/6/1991,7.67
31/7/1991,7.6
31/8/1991,7.7
30/9/1991,7.9
31/10/1991,7.98
30/11/1991,8.14
31/12/1991,8.12
31/1/1992,7.93
28/2/1992,7.75
31/3/1992,7.48
30/4/1992,7.51
31/5/1992,7.69
30/6/1992,7.93
31/7/1992,8.04
31/8/1992,7.87
30/9/1992,7.75
31/10/1992,7.84
30/11/1992,8.02
31/12/1992,7.94
31/1/1993,7.93
28/2/1993,7.93
31/3/1993,7.93
30/4/1993,7.94
31/5/1993,8.03
30/6/1993,8.04
31/7/1993,7.76
31/8/1993,7.66
30/9/1993,7.66
31/10/1993,7.81
30/11/1993,7.82
31/12/1993,7.64
31/1/1994,7.44
28/2/1994,7.43
31/3/1994,7.29
30/4/1994,7.24
31/5/1994,7.41
30/6/1994,7.37
31/7/1994,7.31
31/8/1994,7.4
30/9/1994,7.38
31/10/1994,7.37
30/11/1994,7.47
31/12/1994,7.53
31/1/1995,7.56
28/2/1995,7.6
31/3/1995,7.49
30/4/1995,7.43
31/5/1995,7.57
30/6/1995,7.75
31/7/1995,7.67
31/8/1995,7.45
30/9/1995,7.41
31/10/1995,7.43
30/11/1995,7.55
31/12/1995,7.98
31/1/1996,8.31
28/2/1996,8.34
31/3/1996,8.52
30/4/1996,8.42
31/5/1996,8.41
30/6/1996,8.37
31/7/1996,8.3
31/8/1996,8.38
30/9/1996,8.58
31/10/1996,8.95
30/11/1996,9.15
31/12/1996,9.48
31/1/1997,9.38
28/2/1997,8.69
31/3/1997,8.76
30/4/1997,8.88
31/5/1997,8.79
30/6/1997,8.54
31/7/1997,8.43
31/8/1997,9.21
30/9/1997,10.01
31/10/1997,10.6
30/11/1997,11.13
31/12/1997,11.3
31/1/1998,11.45
28/2/1998,11.06
31/3/1998,10.12
30/4/1998,9.72
31/5/1998,9.7
30/6/1998,8.83
31/7/1998,8.87
31/8/1998,8.67
30/9/1998,8.39
31/10/1998,8.42
30/11/1998,7.83
31/12/1998,7.24
31/1/1999,7.63
28/2/1999,7.29
31/3/1999,7.8
30/4/1999,8.52
31/5/1999,8.52
30/6/1999,8.3
31/7/1999,8.87
31/8/1999,9.36
30/9/1999,10
31/10/1999,10.3
30/11/1999,10.26
31/12/1999,10.66
31/1/2000,11.11
28/2/2000,11.6
31/3/2000,12.42
30/4/2000,11.41
31/5/2000,11.76
30/6/2000,12.46
31/7/2000,13.1
31/8/2000,13.68
30/9/2000,14.22
31/10/2000,14.77
30/11/2000,14.74
31/12/2000,13.91
31/1/2001,13.43
28/2/2001,13.23
31/3/2001,13.09
30/4/2001,14.12
31/5/2001,14.54
30/6/2001,14.34
31/7/2001,13.86
31/8/2001,13.93
30/9/2001,14.03
31/10/2001,13.17
30/11/2001,12.21
31/12/2001,11.24
31/1/2002,11.48
28/2/2002,11.83
31/3/2002,12.33
30/4/2002,13.42
31/5/2002,13.47
30/6/2002,12.92
31/7/2002,12.79
31/8/2002,13.12
30/9/2002,13.78
31/10/2002,14.5
30/11/2002,13.9
31/12/2002,13.94
31/1/2003,14.65
28/2/2003,14.87
31/3/2003,14.79
30/4/2003,14.66
31/5/2003,14.01
30/6/2003,12.84
31/7/2003,13.03
31/8/2003,13.64
30/9/2003,13.63
31/10/2003,13.77
30/11/2003,14.08
31/12/2003,14.39
31/1/2004,14.55
29/2/2004,14.59
31/3/2004,14.59
30/4/2004,14.59
31/5/2004,14.59
30/6/2004,14.59
31/7/2004,14.59
31/8/2004,14.59
30/9/2004,14.59
31/10/2004,14.59
30/11/2004,14.59
31/12/2004,14.59
31/1/2005,14.59
29/2/2005,14.74
31/3/2005,16.06
30/4/2005,18.19
31/5/2005,18.19
30/6/2005,19.19
31/7/2005,22.37
31/8/2005,22.9
30/9/2005,23.84
