date,spare_oil
31/1/1993,2.987488
28/2/1993,2.82646
31/3/1993,3.430944
30/4/1993,3.944178
31/5/1993,3.770457
30/6/1993,3.64887
31/7/1993,3.36085
31/8/1993,3.275046
30/9/1993,3.16056
31/10/1993,3.209949
30/11/1993,3.496092
31/12/1993,3.186563
31/1/1994,3.812911367
28/2/1994,3.828501482
31/3/1994,3.785555145
30/4/1994,3.941165245
31/5/1994,3.797824963
30/6/1994,3.688390638
31/7/1994,3.781559831
31/8/1994,4.077847598
30/9/1994,3.628152721
31/10/1994,3.56555387
30/11/1994,3.560796264
31/12/1994,3.595968874
31/1/1995,3.668885587
28/2/1995,3.521106049
31/3/1995,3.869076303
30/4/1995,3.349084783
31/5/1995,2.824090144
30/6/1995,3.479096504
31/7/1995,3.158971526
31/8/1995,2.907929341
30/9/1995,3.113267298
31/10/1995,2.878280139
30/11/1995,3.208238146
31/12/1995,3.101861435
31/1/1996,3.422591346
29/2/1996,3.329205395
31/3/1996,3.23171148
30/4/1996,3.434499394
31/5/1996,3.372727492
30/6/1996,3.223981416
31/7/1996,3.070140289
31/8/1996,3.073662386
30/9/1996,3.023155288
31/10/1996,2.875194529
30/11/1996,2.827909602
31/12/1996,2.308158175
31/1/1997,3.886239612
28/2/1997,3.633184528
31/3/1997,3.437868645
30/4/1997,3.193376087
31/5/1997,3.457945629
30/6/1997,3.875813421
31/7/1997,3.861251424
31/8/1997,2.736009035
30/9/1997,2.730500245
31/10/1997,2.583432746
30/11/1997,2.813489282
31/12/1997,3.179396367
31/1/1998,3.487017782
28/2/1998,3.035260796
31/3/1998,3.051260796
30/4/1998,3.123698716
31/5/1998,3.192049053
30/6/1998,3.707049053
31/7/1998,3.83180604
31/8/1998,4.101981208
30/9/1998,4.016781987
31/10/1998,4.151781987
30/11/1998,3.88165061
31/12/1998,4.13665061
31/1/1999,4.560483815
28/2/1999,4.040445351
31/3/1999,4.290549775
30/4/1999,5.479392707
31/5/1999,5.54389269
30/6/1999,6.053815254
31/7/1999,5.513548373
31/8/1999,5.278690105
30/9/1999,5.253699954
31/10/1999,5.189244447
30/11/1999,5.724304326
31/12/1999,6.599579278
31/1/2000,5.22410088
29/2/2000,4.561119362
31/3/2000,4.627852955
30/4/2000,3.719956978
31/5/2000,3.188044202
30/6/2000,3.597255348
31/7/2000,3.328323612
31/8/2000,2.357776189
